DATE,COUNTY,CITY,ADDRESS,STATE,LAT,LONG
6/15/2006,MARICOPA,MESA,"922 SOUTH LONGMORE 168, MESA, AZ                 ",AZ,33.397242,-111.867208
7/14/2004,MARICOPA,MORRISTOWN,"26802 193RD N AVE, MORRISTOWN, AZ                 ",AZ,33.854837,-112.620326
7/14/2004,MARICOPA,MORRISTOWN,"27622 204TH N AVE, MORRISTOWN, AZ                ",AZ,33.854837,-112.620326
12/13/2004,MARICOPA,MORRISTOWN,"28944 HWY 60 HWY, MORRISTOWN, AZ                  ",AZ,33.942974,-113.001148
7/14/2004,MARICOPA,MORRISTOWN,"33009 215TH N AVE AVE, MORRISTOWN, AZ            ",AZ,33.854837,-112.620326
4/26/2004,MARICOPA,PEORIA,"2333 GLENROSA W AVE 3B, PEORIA, AZ                ",AZ,33.580596,-112.237378
11/16/2004,MARICOPA,PEORIA,"7436 HATCHER W AVE, PEORIA, AZ                   ",AZ,33.572092,-112.219202
4/26/2004,MARICOPA,PEORIA,"8643 LOCKLAND W CT, PEORIA, AZ                    ",AZ,33.630342,-112.243914
10/19/2004,MARICOPA,PHOENIX,"1021 61ST N ST, PHOENIX, AZ                      ",AZ,33.459535,-112.189966
5/5/2006,MARICOPA,PHOENIX,"1106 WEST BELL ROAD 1188, PHOENIX, AZ            ",AZ,33.641526,-112.089133
8/31/2005,MARICOPA,PHOENIX,"12008 36 N PL, PHOENIX, AZ                       ",AZ,33.595595,-112.003866
8/12/2004,MARICOPA,PHOENIX,"1530 50TH N AVE 303, PHOENIX, AZ                  ",AZ,33.464552,-112.167556
11/23/2004,MARICOPA,PHOENIX,"1550 THUNDERBIRD E 3081, PHOENIX, AZ             ",AZ,33.601833,-112.048239
1/8/2007,MARICOPA,PHOENIX,"1633 WEST BRILES STREET, PHOENIX, AZ              ",AZ,33.723319,-112.095263
1/10/2008,MARICOPA,PHOENIX,"1801 EAST HUBBELL STREET, PHOENIX, AZ            ",AZ,33.470033,-112.043135
10/5/2004,MARICOPA,PHOENIX,"1820 72ND N LN, PHOENIX, AZ                       ",AZ,33.468355,-112.21565
9/23/2004,MARICOPA,PHOENIX,"1922 41ST N LN, PHOENIX, AZ                      ",AZ,33.469464,-112.149493
6/5/2007,MARICOPA,PHOENIX,"19602 NORTH 32ST STREET 38, PHOENIX, AZ           ",AZ,33.664938,-112.014563
6/8/2004,MARICOPA,PHOENIX,"20049 24TH N WAY F, PHOENIX, AZ                  ",AZ,33.669333,-112.02899
7/12/2005,MARICOPA,PHOENIX,"2038 17 N AVE, PHOENIX, AZ                        ",AZ,33.470857,-112.095025
11/2/2005,MARICOPA,PHOENIX,"2216 65TH N DR, PHOENIX, AZ                      ",AZ,33.472027,-112.200485
10/22/2004,MARICOPA,PHOENIX,"2324 BEVERLY E LN, PHOENIX, AZ                    ",AZ,33.634516,-112.032267
2/2/2005,MARICOPA,PHOENIX,"2330 BELL W RD, PHOENIX, AZ                      ",AZ,33.64043,-112.109504
12/2/2004,MARICOPA,PHOENIX,"2828 AUGUSTA W A, PHOENIX, AZ                     ",AZ,33.551573,-112.119672
7/11/2006,MARICOPA,PHOENIX,"3007 NORTH 46TH DRIVE, PHOENIX, AZ               ",AZ,33.483002,-112.157951
5/1/2006,MARICOPA,PHOENIX,"3030 NORTH 14TH STREET 117, PHOENIX, AZ           ",AZ,33.483247,-112.051709
4/28/2004,MARICOPA,PHOENIX,"3425 24TH N LN, PHOENIX, AZ                      ",AZ,33.488729,-112.112117
3/25/2005,MARICOPA,PHOENIX,"3429 36TH N ST, PHOENIX, AZ                       ",AZ,33.488851,-112.003608
3/29/2005,MARICOPA,PHOENIX,"3614 17TH S ST, PHOENIX, AZ                      ",AZ,33.413518,-112.04523
10/11/2004,MARICOPA,PHOENIX,"3636 VERDE E LN, PHOENIX, AZ                      ",AZ,33.481662,-112.002277
7/7/2005,MARICOPA,PHOENIX,"4022 SIERRA W ST, PHOENIX, AZ                    ",AZ,33.590739,-112.146568
4/11/2004,MARICOPA,PHOENIX,"4109 7TH N ST, PHOENIX, AZ                        ",AZ,33.494918,-112.06502
7/5/2006,MARICOPA,PHOENIX,"4245 B NORTH 10TH STREET, PHOENIX, AZ            ",AZ,33.49808,-112.060147
7/14/2006,MARICOPA,PHOENIX,"4245 NORTH 10TH STREET, PHOENIX, AZ               ",AZ,33.49808,-112.060147
1/13/2004,MARICOPA,PHOENIX,"4601 SOUTH 2ND STREET, PHOENIX, AZ               ",AZ,33.404751,-112.070776
3/22/2005,MARICOPA,PHOENIX,"5326 104TH N AVE, PHOENIX, AZ                     ",AZ,33.51313,-112.282977
1/10/2008,MARICOPA,PHOENIX,"601 EAST PALO VERDE DRIVE 8, PHOENIX, AZ         ",AZ,33.521599,-112.06637
5/21/2004,MARICOPA,PHOENIX,"6101 35TH N DR, PHOENIX, AZ                       ",AZ,33.525453,-112.135044
4/18/2008,MARICOPA,PHOENIX,"6437 WEST ROOSELVELT STREET, PHOENIX, AZ         ",AZ,33.458414,-112.198612
1/6/2005,MARICOPA,PHOENIX,"6734 24TH N DR, PHOENIX, AZ                       ",AZ,33.536099,-112.111269
1/26/2004,MARICOPA,PHOENIX,"6824 23RD N AVE 4, PHOENIX, AZ                   ",AZ,33.537435,-112.108669
8/25/2004,MARICOPA,PHOENIX,"6849 LEWIS W AVE, PHOENIX, AZ                     ",AZ,33.475024,-112.207267
5/3/2006,MARICOPA,PHOENIX,"7006 WEST LEWIS AVENUE, PHOENIX, AZ              ",AZ,33.475428,-112.209899
5/11/2004,MARICOPA,PHOENIX,"7632 7TH N AVE, PHOENIX, AZ                       ",AZ,33.548589,-112.082924
7/23/2004,MARICOPA,PHOENIX,"808 CINABAR E, PHOENIX, AZ                       ",AZ,33.577074,-112.062588
1/13/2006,MARICOPA,PHOENIX,"8435 ALMERIA W RD, PHOENIX, AZ                    ",AZ,33.466243,-112.242064
3/18/2015,MARICOPA,PHOENIX,"2990 W THUNDERBIRD ROAD BOX 120, PHOENIX, AZ     ",AZ,33.349743,-112.075766
1/20/2004,MARICOPA,SCOTTSDALE,"1217 78TH N ST, SCOTTSDALE, AZ                    ",AZ,33.462035,-111.912951
2/15/2004,MARICOPA,TEMPE,"1700 DON CARLOS E AVE 116, TEMPE, AZ             ",AZ,33.417937,-111.910038
5/29/2007,MARICOPA,TEMPE,"1854 EAST YALE, TEMPE, AZ                        ",AZ,33.371879,-111.906788
7/6/2006,MARICOPA,TEMPE,"2039 EAST BROADWAY ROAD 172, TEMPE, AZ           ",AZ,33.407415,-111.899447
9/15/2008,MARICOPA,TEMPE,"2313 EAST BALBOA DRIVE, TEMPE, AZ                 ",AZ,33.399602,-111.889579
3/19/2004,MARICOPA,TEMPE,"332 BROADMOR E, TEMPE, AZ                        ",AZ,33.403635,-111.931902
1/8/2004,MARICOPA,TOLLESON,"605 95TH CIRKLE N, TOLLESON, AZ                   ",AZ,33.45375,-112.265413
3/16/2006,MARICOPA,TONOPAH,"14706 124TH N LN, TONOPAH, AZ                    ",AZ,33.493478,-112.93708
3/2/2005,MARICOPA,TONOPAH,"211TH AVE / BETHANY HOME RD, TONOPAH, AZ          ",AZ,33.522592,-113.152782
3/15/2006,MARICOPA,TONOPAH,"5735 411TH N AVE, TONOPAH, AZ                    ",AZ,33.519564,-112.936334
12/13/2004,MARICOPA,WITTMANN,"21529 HOVE 1 E, WITTMANN, AZ                      ",AZ,33.776386,-112.528259
6/18/2004,MARICOPA,WITTMANN,"26835 195TII N AVE, WITTMANN, AZ                 ",AZ,33.776386,-112.528259
3/15/2004,MARICOPA,WITTMANN,"27641 204TH N WAY, WITTMANN, AZ                   ",AZ,33.734627,-112.501851
9/24/2004,MOHAVE,BULLHEAD CITY,"1058 BASELINE RD, BULLHEAD CITY, AZ              ",AZ,35.110342,-114.611999
8/20/2004,MOHAVE,BULLHEAD CITY,"1059 ROSEBUD, BULLHEAD CITY, AZ                   ",AZ,35.092822,-114.611127
10/7/2004,MOHAVE,BULLHEAD CITY,"125 LONG AVENUE 309, BULLHEAD CITY, AZ           ",AZ,35.152801,-114.568582
11/6/2004,MOHAVE,BULLHEAD CITY,"1611 HAVASUPAI DR 13, BULLHEAD CITY, AZ           ",AZ,35.091568,-114.594595
12/1/2006,MOHAVE,BULLHEAD CITY,"1807 FOREST DRIVE, BULLHEAD CITY, AZ             ",AZ,35.104842,-114.639361
7/22/2004,MOHAVE,BULLHEAD CITY,"2220 RANCHO COLORADO 311, BULLHEAD CITY, AZ       ",AZ,35.124697,-114.573849
8/19/2005,MOHAVE,KINGMAN,"3614 RYAN AVE, KINGMAN, AZ                       ",AZ,35.259455,-113.989704
4/17/2006,MOHAVE,LAKE HAVASU CITY,"3193 ORO GRANDE BOULEVARD, LAKE HAVASU CITY, AZ   ",AZ,34.455856,-114.279502
10/15/2004,NAVAJO,HOLBROOK,"419 1/2 BUFFALO W ST A, HOLBROOK, AZ             ",AZ,34.90414,-110.163693
1/9/2007,NAVAJO,LAKESIDE,"3108 GREENLEAF DRIVE, LAKESIDE, AZ                ",AZ,34.168814,-110.00797
5/17/2009,NAVAJO,WINSLOW,"520 WEST BRISMON STREET, WINSLOW, AZ             ",AZ,35.024187,-110.697357
7/22/2004,PIMA,TUCSON,"1417 ALLEN E RD, TUCSON, AZ                       ",AZ,32.275998,-110.950459
9/8/2006,PIMA,TUCSON,"16311 WEST HONEYSUCKLE VIEW LANE, TUCSON, AZ     ",AZ,32.079353,-111.314307
11/13/2004,PIMA,TUCSON,"2123 EDISON TERRANCE N, TUCSON, AZ                ",AZ,32.247899,-110.923461
8/11/2004,PIMA,TUCSON,"2709 DRACHMAN E, TUCSON, AZ                      ",AZ,32.239987,-110.932085
5/20/2009,PIMA,TUCSON,"2724 EAST 8TH STREET, TUCSON, AZ                  ",AZ,32.225033,-110.931675
7/13/2010,PIMA,TUCSON,"3201 EAST 2D, TUCSON, AZ                         ",AZ,32.234269,-110.92518
4/28/2005,PIMA,TUCSON,"3407 GLENN E ST, TUCSON, AZ                       ",AZ,32.257771,-110.920022
10/11/2005,PIMA,TUCSON,"3960 PINTO E LN, TUCSON, AZ                      ",AZ,32.506621,-110.908665
6/30/2007,PIMA,TUCSON,"437 EAST NAVAJO STREET, TUCSON, AZ                ",AZ,32.266975,-110.964092
4/26/2005,PIMA,TUCSON,"5840 22ND E ST, TUCSON, AZ                       ",AZ,32.206667,-110.867206
4/15/2010,PIMA,TUCSON,"6255 SOUTH TRAVISGANT AVENUE, TUCSON, AZ          ",AZ,32.137505,-111.202734
4/30/2007,PIMA,TUCSON,"6832 SOUTH NOGALES HIGHWAY 19B, TUCSON, AZ       ",AZ,32.127795,-110.961206
9/20/2004,PIMA,TUCSON,"923 SWAN N RD B, TUCSON, AZ                      ",AZ,32.234127,-110.892925
6/8/2011,PIMA,TUCSON,"9632 EAST STELLA ROAD, TUCSON, AZ                ",AZ,32.182527,-110.786621
12/3/2014,PIMA,TUCSON,"1821 EAST 13, TUCSON, AZ                          ",AZ,32.218769,-110.944559
10/5/2006,PINAL,APACHE JUNCTION,"1460 SOUTH DENIZA, APACHE JUNCTION, AZ           ",AZ,33.401768,-111.540713
5/26/2004,PINAL,APACHE JUNCTION,"292 PALO VERDE N DR 5, APACHE JUNCTION, AZ        ",AZ,33.417851,-111.566954
11/5/2004,PINAL,APACHE JUNCTION,"4326 DESERT VIEW N DR, APACHE JUNCTION, AZ       ",AZ,33.454287,-111.574783
8/26/2004,PINAL,APACHE JUNCTION,"4632 MAIN N DR, APACHE JUNCTION, AZ               ",AZ,33.457014,-111.568825
5/16/2004,PINAL,APACHE JUNCTION,"917 KANIKSU W, APACHE JUNCTION, AZ               ",AZ,33.454523,-111.556423
10/21/2004,PINAL,APACHE JUNCTION,"980 IRONWOOD N DR #50, APACHE JUNCTION, AZ        ",AZ,33.423711,-111.564484
3/24/2004,PINAL,APACHE JUNCTION,"9841 EAST LA PALMA AVENUE 4, APACHE JUNCTION, AZ ",AZ,33.359265,-111.439946
5/17/2004,PINAL,CASA GRANDE,"406 PASCO DE PAULA E ST, CASA GRANDE, AZ          ",AZ,32.888948,-111.748864
9/1/2004,PINAL,MARICOPA,"2839 KATHLEEN E RD 103, MARICOPA, AZ             ",AZ,33.630455,-112.020413
8/14/2006,YAVAPAI,PRESCOTT,"1205 SANDRETTO DRIVE, PRESCOTT, AZ                ",AZ,34.600458,-112.464069
5/11/2004,YAVAPAI,PRESCOTT VALLEY,"8572 TRACY DR, PRESCOTT VALLEY, AZ               ",AZ,34.60916,-112.314723
4/11/2004,YUMA,WELLTON,"28501 SAN FRANCISCO AVE, WELLTON, AZ      ",,32.673452,-114.150828
