"COUNTY","FullAddress","Month","Day","Year","Longitude","Latitude"
"OUACHITA ","2560  STUBBS RITCHIE ROAD  , MONROE , LA","1","28","2011",-91.976276,32.570805
"OUACHITA ","1389  HWY 139  224 , MONROE , LA","3","5","2011",-92.00341,32.566937
"OUACHITA ","1606  PRARIE ROAD , MONROE , LA","6","6","2014",-92.052086,32.411821
"OUACHITA ","5221  Highland STREET , RICHWOOD , LA","1","1","2016",-92.081211,32.4427049
"OUACHITA ","709 CAPLES RD , WEST MONROE , LA","5","24","2004",-92.240373,32.436161
"OUACHITA ","522 KING ST , WEST MONROE , LA","6","27","2004",-92.170559,32.4660889
"OUACHITA ","1024 CHENIERE DREW RD LOT 5 , WEST MONROE , LA","10","18","2004",-92.244353,32.543525
"OUACHITA ","709 CAPLES RD , WEST MONROE , LA","11","12","2004",-92.240373,32.436161
"OUACHITA ","5534 WHITE'S FERRY RD LOT # 5 , WEST MONROE , LA","1","4","2005",-92.159802,32.5655379
"OUACHITA ","2317 HIGHWAY 557 , WEST MONROE , LA","1","11","2005",-92.198735,32.370662
"OUACHITA ","505 PACE RD , WEST MONROE , LA","4","5","2005",-92.2679342,32.4988944
"OUACHITA ","700 EVERGREEN , WEST MONROE , LA","4","12","2005",-92.1676249,32.4796903
"OUACHITA ","101  RIDGE GROVE  4 , WEST MONROE , LA","1","18","2010",-92.173788,32.479416
"OUACHITA ","532  TEDETON ROAD  , WEST MONROE , LA","2","1","2010",-92.360617,32.5772547
"OUACHITA ","105  RIDGE GROVE, WEST MONROE , LA","2","2","2010",-92.17388,32.47895
"OUACHITA ","109  LYNETTE DRIVE  , WEST MONROE , LA","5","29","2010",-92.1797689,32.473352
"OUACHITA ","113  SANDAL STREET  , WEST MONROE , LA","6","13","2010",-92.1590499,32.473227
"OUACHITA ","1207  EVERGREEN STREET , WEST MONROE , LA","3","3","2011",-92.166805,32.469613
"OUACHITA ","405  N. 5th STREET , WEST MONROE , LA","1","5","2016",-92.130505,32.499864
"OUACHITA ","108  Bonaparte DRIVE , WEST MONROE , LA","3","6","2016",-92.164559,32.560646
"RAPIDES ","123 LOCKER ROAD , DEVILLE , LA","7","17","2006",-92.29622,31.27623
"St. Martin Parish ","1778 NURSERY HIGHWAY , BREAUX BRIDGE , LA","8","22","2006",-91.8226318,30.2648531
"ST. MARY ","1468  FAIRMONT AVENUE , MORGAN CITY , LA","6","19","2012",-91.2623336,29.6893272
"ST. TAMMANY ","33259 JOHN CROW ROAD , PEARL RIVER , LA","5","31","2007",-89.841051,30.4964674
"ST. TAMMANY ","64476 STICKER ROAD , PEARL RIVER , LA","12","20","2007",-89.778619,30.367747
"ST. TAMMANY ","64105  3081 HIGHWAY  , PEARL RIVER , LA","4","10","2013",-89.7499514,30.3625619
"ST. TAMMANY ","3167 COLLEGE STREET , SLIDELL , LA","10","26","2007",-89.789514,30.262332
"ST. TAMMANY ","116  Sun Valley , SLIDELL , LA","1","5","2016",-89.7963185,30.2537431
"St. Tammany Parish ","341 TIFFANY S ST , SLIDELL , LA","9","30","2004",-89.753317,30.261476
"St. Tammany Parish ","41066 HIGHWAY 190 EAST E HWY , SLIDELL , LA","1","1","2005",-89.719656,30.260052
"TANGIPAHOA ","175 LEOTA LN , FLUKER , LA","8","2","2005",-90.5109272,30.8215722
"TANGIPAHOA ","27943 ALIGATOR BRANCH ROAD , FOLSOM , LA","3","6","2008",-90.1873048,30.6301889
"TANGIPAHOA ","40195 MACEDONIA RD 9 , HAMMOND , LA","8","18","2004",-90.5390011,30.4383788
"TANGIPAHOA ","42458 BILLVILLE S RD , HAMMOND , LA","6","7","2005",-90.5330704,30.4680753
"TANGIPAHOA ","12579 EAST 190 HIGHWAY , HAMMOND , LA","6","18","2007",-90.5078748,30.5044872
"TANGIPAHOA ","17086 TYCER LANE , HAMMOND , LA","11","30","2007",-90.4458517,30.5775472
"TANGIPAHOA ","55461 DURBIN ROAD , INDEPENDENCE , LA","4","25","2007",-90.5223374,30.6536697
"TANGIPAHOA ","13041 CHARLOTTE DRIVE , INDEPENDENCE , LA","5","23","2007",-90.5065792,30.6144023
"TANGIPAHOA ","51631 JACOBSON LANE , INDEPENDENCE , LA","7","12","2007",-90.419834,30.6065939
"TANGIPAHOA ","4185 NEWMAN RD , KENTWOOD , LA","10","10","2004",-90.6336101,30.9629302
"TANGIPAHOA ","72258 HWY 1054 , KENTWOOD , LA","5","8","2005",-90.4628095,30.9038071
"TANGIPAHOA ","50389 LESSER LN , LORANGER , LA","7","26","2005",-90.3981441,30.6357439
"TANGIPAHOA ","17640 HIATT ST , LORANGER , LA","2","25","2006",-90.4046628,30.6410796
"TANGIPAHOA ","19325 HIATT ROAD , LORANGER , LA","11","28","2007",-90.4017558,30.6411378
"TANGIPAHOA ","47406 STRATE LN , NATALBANY , LA","10","21","2004",-90.4569264,30.5472403
"TANGIPAHOA ","40027 HEINRICH HAVEN LN , PONCHATOULA , LA","10","14","2004",-90.3767303,30.4401136
"TANGIPAHOA ","19479 WEINBERGAN RD , PONCHATOULA , LA","12","20","2004",-90.3729808,30.4179135
"TANGIPAHOA ","42056 BUNSON RD , PONCHATOULA , LA","5","3","2005",-90.3972251,30.440637
"TANGIPAHOA ","4240 DUNSON LN , PONCHATOULA , LA","7","13","2005",-90.3971976,30.4432777
"TANGIPAHOA ","26277 HARVERY LAVIGNE RD , PONCHATOULA , LA","8","3","2005",-90.291797,30.4746427
"TANGIPAHOA ","41133 DUNSON ROAD , PONCHATOULA , LA","10","11","2007",-90.3972244,30.4407015
"TANGIPAHOA ","170 NORTH 4TH STREET , PONCHATOULA , LA","10","26","2007",-90.4381905,30.4401378
"TANGIPAHOA ","41037 SOUTH RANGE ROAD 15 , PONCHATOULA , LA","2","27","2008",-90.4486316,30.4751331
"TANGIPAHOA ","12305 HWY 440 , TANGIPAHOA , LA","5","7","2005",-90.5151194,30.8748354
"TANGIPAHOA ","17010 HWY 442 , TICKFAW , LA","6","29","2005",-90.4479251,30.5889044
"TANGIPAHOA ","12537 CHAVERS LANE , TICKFAW , LA","1","14","2007",-90.5166885,30.5908181
"TANGIPAHOA ","48089 WHISKEY LANE , TICKFAW , LA","5","7","2007",-90.4530381,30.5515333
"TANGIPAHOA ","48485 MUSACCHIA LANE , TICKFAW , LA","10","11","2007",-90.5067434,30.5541173
"TANGIPAHOA ","13283 HWY 1064 , TICKFAW , LA","11","16","2007",-90.5076006,30.544735
"VERNON ","110  MATTOX ROAD  , ANACOCO , LA","4","20","2009",-93.3210714,31.26192
"VERNON ","132 NORRIS KAY RD , LEESVILLE , LA","1","26","2005",-93.3732285,31.1420512
"VERNON ","100 CEDAR WOOD 2-D , NEWLLANO , LA","11","26","2004",-93.2715535,31.1149093
"VERNON ","332  COLE ROAD  , PITKIN , LA","1","5","2010",-92.927586,30.9266073
"VERNON ","142  HILL STREET  , PITKIN , LA","9","23","2010",-92.9403922,30.9345675
"WASHINGTON ","59429 OTZENBURGER RD , BOGALUSA , LA","2","17","2004",-89.8878329,30.6816085
"WASHINGTON ","13362 HWY 1075 HWY , BOGALUSA , LA","8","4","2004",-89.8823733,30.7162791
"WASHINGTON ","54694 HWY 16 , BOGALUSA , LA","11","3","2004",-89.9811562,30.6676159
"WASHINGTON ","926 ONTARIO AVE , BOGALUSA , LA","12","6","2004",-89.8760411,30.7915453
"WASHINGTON ","11069 DON BATES RD , BOGALUSA , LA","1","5","2005",-89.8989777,30.6814015
"WASHINGTON ","39154 DEER RD ST , FRANKLINTON , LA","12","8","2004",-90.0361858,30.8257051
"WASHINGTON ","30374 PATRIDGE LN , MT HERMON , LA","5","19","2004",-90.2911485,30.9606074
"WOLFE ","90 PAGE HOLLOW , CAMPTON , LA","6","3","2005",-83.5701475,37.7391887
